id,book name,author,rating,reviews count,price,reading age,print length,publishing date,genre,log_reviews,year,month,publishing_date,year_published,month_published,quarter_published,days_since_published,is_recent,author_avg_reviews,author_median_reviews,author_book_count,author_reviews_std,author_avg_rating,genre_avg_reviews,genre_median_reviews,genre_book_count,price_per_page,is_expensive,rating_normalized,high_rating,rating_price_interaction,author_genre_popularity,format_Board book,format_Cards,format_Hardcover,format_Paperback,price_cat_Budget,price_cat_Standard,price_cat_Premium,price_cat_Luxury
1,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,4.8,145747,18.88,,320.0,2018-10-16,Self-Improvement,11.88963438199166,2018.0,10.0,2018-10-16,2018.0,10.0,4.0,2722.0,0,145747.0,145747.0,1,,4.8,94997.38,107107.5,8,0.059,1,0.8749999999999994,1,90.624,13845583142.86,False,False,True,False,False,False,True,False
2,"Iron Flame (Standard Edition) (The Empyrean, 2)",Rebecca Yarros,4.7,395512,11.05,,640.0,2023-11-07,Fiction & Action & Adventure,12.887938935434729,2023.0,11.0,2023-11-07,2023.0,11.0,4.0,874.0,0,291052.67,395512.0,3,250686.89,4.7,199796.88,165631.0,33,0.017265625,1,0.75,1,51.935,58151415381.6696,False,False,True,False,False,True,False,False
3,Spare,Prince Harry  The Duke of Sussex,4.5,116101,11.99,,416.0,2023-01-10,Biographies & Memoirs,11.662224394066463,2023.0,1.0,2023-01-10,2023.0,1.0,1.0,1175.0,0,116101.0,116101.0,1,,4.5,54823.57,39574.0,7,0.028822115384615384,1,0.5,1,53.955,6365071300.57,False,False,True,False,False,True,False,False
4,Fourth Wing,Rebecca Yarros,4.8,472618,13.62,,544.0,2024-09-17,Fiction & Action & Adventure,13.066044846058432,2024.0,9.0,2024-09-17,2024.0,9.0,3.0,559.0,0,291052.67,395512.0,3,250686.89,4.7,199796.88,165631.0,33,0.025036764705882352,1,0.8749999999999994,1,65.37599999999999,58151415381.6696,False,False,False,True,False,True,False,False
5,The Woman in Me,Britney Spears,4.4,51520,11.37,,288.0,2023-10-24,Biographies & Memoirs,10.849744770527753,2023.0,10.0,2023-10-24,2023.0,10.0,4.0,888.0,0,51520.0,51520.0,1,,4.4,54823.57,39574.0,7,0.03947916666666666,1,0.37500000000000056,0,50.028,2824510326.4,False,False,True,False,False,True,False,False
6,Lessons in Chemistry: A Novel,Bonnie Garmus,4.6,322650,13.94,,400.0,2022-04-05,Fiction & Action & Adventure,12.684326522692826,2022.0,4.0,2022-04-05,2022.0,4.0,2.0,1455.0,0,322650.0,322650.0,1,,4.6,199796.88,165631.0,33,0.03485,1,0.6249999999999994,1,64.124,64464463332.0,False,False,True,False,False,True,False,False
7,The 48 Laws of Power,Robert Greene,4.7,87375,13.99,,452.0,2000-09-01,Politics & Social Sciences,11.377975924391935,2000.0,9.0,2000-09-01,2000.0,9.0,3.0,9341.0,0,87375.0,87375.0,1,,4.7,48087.25,49611.5,4,0.030951327433628318,1,0.75,1,65.753,4201623468.75,False,False,False,True,False,True,False,False
8,"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk M.D.,4.8,82564,14.39,18 years and up,464.0,2015-09-08,Health & Fitness & Dieting,11.321341140897088,2015.0,9.0,2015-09-08,2015.0,9.0,3.0,3856.0,0,82564.0,82564.0,1,,4.8,26316.33,15375.5,6,0.03101293103448276,1,0.8749999999999994,1,69.072,2172781470.1200004,False,False,False,True,False,True,False,False
9,It Starts with Us: A Novel (It Ends with Us),Colleen Hoover,4.5,228242,1.88,,336.0,2022-10-18,Fiction & Action & Adventure,12.338166129859884,2022.0,10.0,2022-10-18,2022.0,10.0,4.0,1259.0,0,318063.2,347742.0,5,117795.63,4.62,199796.88,165631.0,33,0.005595238095238095,0,0.5,1,8.459999999999999,63548035002.816,False,False,False,True,True,False,False,False
10,Outlive: The Science and Art of Longevity,Peter Attia MD,4.6,19946,18.0,,496.0,2023-03-28,Health & Fitness & Dieting,9.900834035070565,2023.0,3.0,2023-03-28,2023.0,3.0,1.0,1098.0,0,19946.0,19946.0,1,,4.6,26316.33,15375.5,6,0.036290322580645164,1,0.6249999999999994,1,82.8,524905518.18,False,False,True,False,False,False,True,False
11,It Ends with Us: A Novel,Colleen Hoover,4.7,405311,9.03,,384.0,2016-08-02,Fiction & Action & Adventure,12.912412419876102,2016.0,8.0,2016-08-02,2016.0,8.0,3.0,3527.0,0,318063.2,347742.0,5,117795.63,4.62,199796.88,165631.0,33,0.023515625,0,0.75,1,42.440999999999995,63548035002.816,False,False,False,True,True,False,False,False
12,The Housemaid,Freida McFadden,4.5,653111,9.69,,336.0,2022-08-23,Mystery & Thriller & Suspense,13.389503909631,2022.0,8.0,2022-08-23,2022.0,8.0,3.0,1315.0,0,653111.0,653111.0,1,,4.5,243347.0,146289.5,6,0.028839285714285713,0,0.5,1,43.605,158932602517.0,False,False,False,True,True,False,False,False
13,The Very Hungry Caterpillar,Eric Carle,4.9,78436,5.75,1 - 2 years,26.0,1994-03-23,Reading & Writing,11.270051033785931,1994.0,3.0,1994-03-23,1994.0,3.0,1.0,11695.0,0,78436.0,78436.0,1,,4.9,49575.33,47458.0,18,0.22115384615384615,0,1.0,1,28.175,3888490583.88,True,False,False,False,True,False,False,False
14,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,4.4,80996,9.99,,416.0,2018-04-03,Politics & Social Sciences,11.30216739593165,2018.0,4.0,2018-04-03,2018.0,4.0,2.0,2918.0,0,60285.0,60285.0,2,29289.78,4.4,48087.25,49611.5,4,0.02401442307692308,0,0.37500000000000056,0,43.956,2898939866.25,False,False,False,True,True,False,False,False
15,Verity,Colleen Hoover,4.6,443390,12.09,,336.0,2021-10-26,Fiction & Action & Adventure,13.002207278258753,2021.0,10.0,2021-10-26,2021.0,10.0,4.0,1616.0,0,318063.2,347742.0,5,117795.63,4.62,199796.88,165631.0,33,0.03598214285714286,1,0.6249999999999994,1,55.614,63548035002.816,False,False,False,True,False,True,False,False
16,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,4.6,270507,6.91,,400.0,2018-05-29,Fiction & Action & Adventure,12.508056951692714,2018.0,5.0,2018-05-29,2018.0,5.0,2.0,2862.0,0,183111.0,183111.0,2,123596.61,4.5,199796.88,165631.0,33,0.017275,0,0.6249999999999994,1,31.785999999999998,36585006493.68,False,False,False,True,True,False,False,False
17,The Creative Act: A Way of Being,Rick Rubin,4.7,10805,16.99,,432.0,2023-01-17,Health & Fitness & Dieting,9.28785681440401,2023.0,1.0,2023-01-17,2023.0,1.0,1.0,1168.0,0,10805.0,10805.0,1,,4.7,26316.33,15375.5,6,0.0393287037037037,1,0.75,1,79.853,284347945.65000004,False,False,True,False,False,False,True,False
18,Taylor Swift: A Little Golden Book Biography,"Wendy Loggia, Elisa Chavarri",4.9,9344,4.35,5 years and up,24.0,2023-05-02,Arts & Music & Photography,9.142596719889664,2023.0,5.0,2023-05-02,2023.0,5.0,2.0,1063.0,0,9344.0,9344.0,1,,4.9,16535.0,9344.0,3,0.18125,0,1.0,1,21.315,154503040.0,False,False,True,False,True,False,False,False
19,The Four Agreements: A Practical Guide to Personal Freedom,"Janet Mills, Don Miguel Ruiz",4.7,119661,7.05,,160.0,1997-11-07,Self-Improvement,11.69242638082741,1997.0,11.0,1997-11-07,1997.0,11.0,4.0,10370.0,0,119661.0,119661.0,1,,4.7,94997.38,107107.5,8,0.0440625,0,0.75,1,33.135,11367481488.18,False,False,False,True,True,False,False,False
20,Demon Copperhead: A Novel,Barbara Kingsolver,4.6,146667,17.1,,560.0,2022-10-18,Fiction & Action & Adventure,11.895926808094103,2022.0,10.0,2022-10-18,2022.0,10.0,4.0,1259.0,0,146667.0,146667.0,1,,4.6,199796.88,165631.0,33,0.030535714285714288,1,0.6249999999999994,1,78.66,29303608998.96,False,False,True,False,False,False,True,False
21,A Court of Thorns and Roses,Sarah J. Maas,4.6,314472,12.8,,448.0,2020-06-02,Fiction & Action & Adventure,12.658653500880824,2020.0,6.0,2020-06-02,2020.0,6.0,2.0,2127.0,0,221068.4,269981.0,5,106715.92,4.62,199796.88,165631.0,33,0.028571428571428574,1,0.6249999999999994,1,58.879999999999995,44168776586.592,False,False,False,True,False,True,False,False
22,Interesting Facts For Curious Minds,Jordan Moore,4.6,15400,10.41,,196.0,2022-07-18,Puzzles & Games,9.642187721358466,2022.0,7.0,2022-07-18,2022.0,7.0,3.0,1351.0,0,15400.0,15400.0,1,,4.6,15400.0,15400.0,1,0.05311224489795918,0,0.6249999999999994,1,47.885999999999996,237160000.0,False,False,False,True,False,True,False,False
23,No Brainer (Diary of a Wimpy Kid #18) (Volume 18),Jeff Kinney,4.7,13081,2.03,8 years and up,224.0,2023-10-24,Reading & Writing,9.478992518521158,2023.0,10.0,2023-10-24,2023.0,10.0,4.0,888.0,0,13081.0,13081.0,1,,4.7,49575.33,47458.0,18,0.0090625,0,0.75,1,9.540999999999999,648494891.73,False,False,True,False,True,False,False,False
24,I Love You to the Moon and Back,Amelia Hepworth,4.9,80263,3.97,baby and up,28.0,2015-03-03,Reading & Writing,11.293076480605448,2015.0,3.0,2015-03-03,2015.0,3.0,1.0,4045.0,0,80263.0,80263.0,1,,4.9,49575.33,47458.0,18,0.1417857142857143,0,1.0,1,19.453000000000003,3979064711.79,True,False,False,False,True,False,False,False
25,Dog Man: Twenty Thousand Fleas Under the Sea: A Graphic Novel (Dog Man #11): From the Creator of Captain Underpants,Dav Pilkey,4.8,11089,5.48,7 years and up,240.0,2023-03-28,Comics & Graphic Novels,9.313799080344413,2023.0,3.0,2023-03-28,2023.0,3.0,1.0,1098.0,0,11089.0,11089.0,1,,4.8,69411.5,69411.5,2,0.022833333333333334,0,0.8749999999999994,1,26.304000000000002,769704123.5,False,False,True,False,True,False,False,False
26,Things We Never Got Over (Knockemout),Lucy Score,4.5,232211,9.77,,570.0,2022-01-12,Fiction & Action & Adventure,12.355406026497148,2022.0,1.0,2022-01-12,2022.0,1.0,1.0,1538.0,0,175653.0,175653.0,2,79985.09,4.45,199796.88,165631.0,33,0.01714035087719298,0,0.5,1,43.964999999999996,35094921362.64,False,False,False,True,True,False,False,False
27,The Covenant of Water (Oprah's Book Club),Abraham Verghese,4.6,94536,17.96,,736.0,2023-05-02,Fiction & Action & Adventure,11.45674657124378,2023.0,5.0,2023-05-02,2023.0,5.0,2.0,1063.0,0,94536.0,94536.0,1,,4.6,199796.88,165631.0,33,0.02440217391304348,1,0.6249999999999994,1,82.616,18887997847.68,False,False,True,False,False,False,True,False
28,"Brown Bear, Brown Bear, What Do You See?","Bill Martin Jr. , Eric Carle",4.9,55794,4.82,1 - 2 years,24.0,1996-09-15,Reading & Writing,10.929439538619802,1996.0,9.0,1996-09-15,1996.0,9.0,3.0,10788.0,0,55794.0,55794.0,1,,4.9,49575.33,47458.0,18,0.20083333333333334,0,1.0,1,23.618000000000002,2766005962.02,True,False,False,False,True,False,False,False
29,Baking Yesteryear: The Best Recipes from the 1900s to the 1980s,B. Dylan Hollis,4.9,13217,16.78,,256.0,2023-07-25,Cookbooks & Food,9.489334816030398,2023.0,7.0,2023-07-25,2023.0,7.0,3.0,979.0,0,13217.0,13217.0,1,,4.9,26189.67,25279.0,3,0.065546875,1,1.0,1,82.22200000000001,346148868.39,False,False,True,False,False,False,True,False
30,I Love You Like No Otter: A Funny and Sweet Valentine's Day Board Book for Babies and Toddlers (Punderland),Rose Rossner,4.9,14622,5.37,baby and up,24.0,2020-01-07,Reading & Writing,9.590350910611878,2020.0,1.0,2020-01-07,2020.0,1.0,1.0,2274.0,0,14622.0,14622.0,1,,4.9,49575.33,47458.0,18,0.22375,0,1.0,1,26.313000000000002,724890475.26,True,False,False,False,True,False,False,False
31,"Friends, Lovers, and the Big Terrible Thing",Matthew Perry,4.5,60311,10.83,,272.0,2022-11-01,Humor & Entertainment,11.007286367891538,2022.0,11.0,2022-11-01,2022.0,11.0,4.0,1245.0,0,60311.0,60311.0,1,,4.5,60311.0,60311.0,1,0.03981617647058824,1,0.5,1,48.735,3637416721.0,False,False,True,False,False,True,False,False
32,Rich Dad Poor Dad,Robert T. Kiyosaki,4.7,106198,7.34,,336.0,2022-04-05,Business & Money,11.573069971549787,2022.0,4.0,2022-04-05,2022.0,4.0,2.0,1455.0,0,106198.0,106198.0,1,,4.7,48360.4,29360.0,5,0.021845238095238095,0,0.75,1,34.498,5135777759.2,False,False,False,True,True,False,False,False
33,"The Wager: A Tale of Shipwreck, Mutiny and Murder",David Grann,4.4,39574,14.47,1 year and up,352.0,2023-04-18,Biographies & Memoirs,10.585952884749213,2023.0,4.0,2023-04-18,2023.0,4.0,2.0,1077.0,0,60285.0,60285.0,2,29289.78,4.4,54823.57,39574.0,7,0.041107954545454545,1,0.37500000000000056,0,63.668000000000006,3305038917.45,False,False,True,False,False,True,False,False
34,"Oh, the Places You'll Go!",Dr. Seuss ,4.9,53602,8.64,3 - 4 years,56.0,1990-01-22,Reading & Writing,10.889360315641877,1990.0,1.0,1990-01-22,1990.0,1.0,1.0,13216.0,0,53602.0,53602.0,1,,4.9,49575.33,47458.0,18,0.1542857142857143,0,1.0,1,42.336000000000006,2657336838.6600003,False,False,True,False,True,False,False,False
35,My First Library: Boxset of 10 Board Books for Kids,Wonder House Books,4.6,88321,14.99,1 - 2 years,220.0,2018-04-25,Reading & Writing,11.388744506182066,2018.0,4.0,2018-04-25,2018.0,4.0,2.0,2896.0,0,88321.0,88321.0,1,,4.6,49575.33,47458.0,18,0.06813636363636363,1,0.6249999999999994,1,68.954,4378542720.93,True,False,False,False,False,True,False,False
36,If He Had Been with Me,Laura Nowlin,4.2,60754,6.88,,400.0,2019-11-01,Fiction & Action & Adventure,11.014604662342713,2019.0,11.0,2019-11-01,2019.0,11.0,4.0,2341.0,0,60754.0,60754.0,1,,4.2,199796.88,165631.0,33,0.0172,0,0.12500000000000056,0,28.896,12138459647.52,False,False,False,True,True,False,False,False
37,Goodnight Moon,"Margaret Wise Brown, Clement Hurd",4.9,31124,1.89,baby and up,34.0,1991-08-02,Arts & Music & Photography,10.345766633767008,1991.0,8.0,1991-08-02,1991.0,8.0,3.0,12659.0,0,31124.0,31124.0,1,,4.9,16535.0,9344.0,3,0.05558823529411765,0,1.0,1,9.261000000000001,514635340.0,True,False,False,False,True,False,False,False
38,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,4.4,129310,13.28,,416.0,2022-07-05,Fiction & Action & Adventure,11.769975634613951,2022.0,7.0,2022-07-05,2022.0,7.0,3.0,1364.0,0,129310.0,129310.0,1,,4.4,199796.88,165631.0,33,0.03192307692307692,1,0.37500000000000056,0,58.432,25835734552.8,False,False,True,False,False,True,False,False
39,"World of Eric Carle, Around the Farm 30",PI Kids,4.8,26464,11.99,1 - 2 years,24.0,2013-01-31,Reading & Writing,10.183578384292089,2013.0,1.0,2013-01-31,2013.0,1.0,1.0,4806.0,0,26464.0,26464.0,1,,4.8,49575.33,47458.0,18,0.4995833333333333,1,0.8749999999999994,1,57.552,1311961533.1200001,False,False,True,False,False,True,False,False
40,The Wonderful Things You Will Be,Emily Winfield Martin,4.9,32274,9.45,3 years and up,36.0,2015-08-25,Reading & Writing,10.382048215714843,2015.0,8.0,2015-08-25,2015.0,8.0,3.0,3870.0,0,32274.0,32274.0,1,,4.9,49575.33,47458.0,18,0.26249999999999996,0,1.0,1,46.305,1599994200.42,False,False,True,False,True,False,False,False
41,Fourth Wing (Special Edition),Rebecca Yarros,4.6,5028,26.91,,528.0,2023-11-07,Fiction & Action & Adventure,8.522976436171964,2023.0,11.0,2023-11-07,2023.0,11.0,4.0,874.0,0,291052.67,395512.0,3,250686.89,4.7,199796.88,165631.0,33,0.05096590909090909,1,0.6249999999999994,1,123.78599999999999,58151415381.6696,False,False,True,False,False,False,False,True
42,The Silent Patient,Alex Michaelides,4.4,398561,2.39,,368.0,2021-05-04,Mystery & Thriller & Suspense,12.895618348548451,2021.0,5.0,2021-05-04,2021.0,5.0,2.0,1791.0,0,398561.0,398561.0,1,,4.4,243347.0,146289.5,6,0.0064945652173913045,0,0.37500000000000056,0,10.516000000000002,96988623667.0,False,False,False,True,True,False,False,False
43,Remarkably Bright Creatures: A Read with Jenna Pick,Shelby Van Pelt,4.6,129211,14.53,,368.0,2022-05-03,Mystery & Thriller & Suspense,11.769209745274594,2022.0,5.0,2022-05-03,2022.0,5.0,2.0,1427.0,0,129211.0,129211.0,1,,4.6,243347.0,146289.5,6,0.03948369565217391,1,0.6249999999999994,1,66.838,31443109217.0,True,False,False,False,False,True,False,False
44,"The Psychology of Money: Timeless lessons on wealth, greed, and happiness",Morgan Housel,4.7,68563,14.18,,256.0,2020-09-08,Business & Money,11.135522894626948,2020.0,9.0,2020-09-08,2020.0,9.0,3.0,2029.0,0,68563.0,68563.0,1,,4.7,48360.4,29360.0,5,0.055390625,1,0.75,1,66.646,3315734105.2000003,False,False,False,True,False,True,False,False
45,The Shadow Work Journal,Keila Shaheen,4.7,6331,23.66,,138.0,2021-11-02,Health & Fitness & Dieting,8.753371421000903,2021.0,11.0,2021-11-02,2021.0,11.0,4.0,1609.0,0,4813.5,4813.5,2,2146.07,4.65,26316.33,15375.5,6,0.17144927536231885,1,0.75,1,111.202,126673654.45500001,False,False,False,True,False,False,False,True
46,Oath and Honor: A Memoir and a Warning,Liz Cheney,4.8,17084,14.78,,384.0,2023-12-05,Biographies & Memoirs,9.745956164549392,2023.0,12.0,2023-12-05,2023.0,12.0,4.0,846.0,0,17084.0,17084.0,1,,4.8,54823.57,39574.0,7,0.038489583333333334,1,0.8749999999999994,1,70.94399999999999,936605869.88,False,False,True,False,False,True,False,False
47,Where's Bluey?: A Search-and-Find Book,Penguin Young Readers Licenses,4.8,9137,2.7,2 years and up,32.0,2022-01-25,Arts & Music & Photography,9.120196822123217,2022.0,1.0,2022-01-25,2022.0,1.0,1.0,1525.0,0,9137.0,9137.0,1,,4.8,16535.0,9344.0,3,0.084375,0,0.8749999999999994,1,12.96,151080295.0,False,False,False,True,True,False,False,False
48,Twisted Love,Ana Huang,4.2,142671,9.99,,352.0,2022-09-27,Fiction & Action & Adventure,11.86830356837466,2022.0,9.0,2022-09-27,2022.0,9.0,3.0,1280.0,0,125499.0,125499.0,2,24284.88,4.3,199796.88,165631.0,33,0.02838068181818182,0,0.12500000000000056,0,41.958000000000006,25074308643.12,False,False,False,True,True,False,False,False
49,Icebreaker,Hannah Grace,4.3,113454,9.4,,448.0,2023-02-07,Fiction & Action & Adventure,11.63916156151537,2023.0,2.0,2023-02-07,2023.0,2.0,1.0,1147.0,0,113454.0,113454.0,1,,4.3,199796.88,165631.0,33,0.02098214285714286,0,0.25,0,40.42,22667755223.52,False,False,False,True,True,False,False,False
